model,scheme,fold,metric,value
global_mean,spatial,3,r2,-0.049390135368906574
global_mean,spatial,3,medape_pct,35.81006501794283
global_mean,spatial,3,mae_price_gbp,449440.01058494
global_mean,spatial,3,duan_smearing,1.2276011315329498
global_median,spatial,3,rmse_log,0.6975914124392626
global_median,spatial,3,mae_log,0.5055688127552084
global_median,spatial,3,r2,-0.0971203181067779
global_median,spatial,3,medape_pct,35.466666666666654
global_median,spatial,3,mae_price_gbp,449440.01058494
global_median,spatial,3,duan_smearing,1.302914843058411
spatial_knn,spatial,3,rmse_log,0.7148122938428699
spatial_knn,spatial,3,mae_log,0.5641635834820873
spatial_knn,spatial,3,r2,-0.1519563766109555
spatial_knn,spatial,3,medape_pct,46.026068680781385
spatial_knn,spatial,3,mae_price_gbp,540849.7416691765
spatial_knn,spatial,3,duan_smearing,1.03613895909043
ridge_no_spatial,spatial,3,rmse_log,0.476165641984827
ridge_no_spatial,spatial,3,mae_log,0.348428748290682
ridge_no_spatial,spatial,3,r2,0.4888267515186231
ridge_no_spatial,spatial,3,medape_pct,26.981635522175086
ridge_no_spatial,spatial,3,mae_price_gbp,350136.3761522488
ridge_no_spatial,spatial,3,duan_smearing,1.0934832731461996
ridge_spatial,spatial,3,rmse_log,0.5164104311570362
ridge_spatial,spatial,3,mae_log,0.37127591348740663
ridge_spatial,spatial,3,r2,0.3987680947155392
ridge_spatial,spatial,3,medape_pct,27.37897831851092
ridge_spatial,spatial,3,mae_price_gbp,359149.3625706983
ridge_spatial,spatial,3,duan_smearing,1.0700965804750853
lasso_spatial,spatial,3,rmse_log,0.5171671379364515
lasso_spatial,spatial,3,mae_log,0.37256449345453774
lasso_spatial,spatial,3,r2,0.3970048089272544
lasso_spatial,spatial,3,medape_pct,27.598248692531325
lasso_spatial,spatial,3,mae_price_gbp,360355.8782381766
lasso_spatial,spatial,3,duan_smearing,1.0702868687386269
lightgbm,spatial,3,rmse_log,0.498902100129843
lightgbm,spatial,3,mae_log,0.35633776294295627
lightgbm,spatial,3,r2,0.43884521446957336
lightgbm,spatial,3,medape_pct,25.537920198409413
lightgbm,spatial,3,mae_price_gbp,345266.3917041696
lightgbm,spatial,3,duan_smearing,1.0494406106214536
global_mean,spatial,4,rmse_log,0.5407347876561804
global_mean,spatial,4,mae_log,0.43528619472565366
global_mean,spatial,4,r2,-0.7465101773210838
global_mean,spatial,4,medape_pct,42.09014232379239
global_mean,spatial,4,mae_price_gbp,329634.1260954794
global_mean,spatial,4,duan_smearing,1.2721298961873884
global_median,spatial,4,rmse_log,0.49692687723662404
global_median,spatial,4,mae_log,0.38927831150989567
global_median,spatial,4,r2,-0.47498455929240646
global_median,spatial,4,medape_pct,34.56790123456796
global_median,spatial,4,mae_price_gbp,329634.1260954794
global_median,spatial,4,duan_smearing,1.366457479220005
spatial_knn,spatial,4,rmse_log,0.499410243162666
spatial_knn,spatial,4,mae_log,0.39023559368872596
spatial_knn,spatial,4,r2,-0.489763711739885
spatial_knn,spatial,4,medape_pct,31.761368843742627
spatial_knn,spatial,4,mae_price_gbp,186115.8292376517
spatial_knn,spatial,4,duan_smearing,1.0428007273043265
ridge_no_spatial,spatial,4,rmse_log,0.37613004214068113
ridge_no_spatial,spatial,4,mae_log,0.29338969507352924
ridge_no_spatial,spatial,4,r2,0.15495751246791267
ridge_no_spatial,spatial,4,medape_pct,22.614902621861035
ridge_no_spatial,spatial,4,mae_price_gbp,118823.81069642586
ridge_no_spatial,spatial,4,duan_smearing,1.1093083621773925
ridge_spatial,spatial,4,rmse_log,0.3961930388456449
ridge_spatial,spatial,4,mae_log,0.32133888212084205
ridge_spatial,spatial,4,r2,0.06240306004861018
ridge_spatial,spatial,4,medape_pct,30.851455532654647
ridge_spatial,spatial,4,mae_price_gbp,182303.6052872977
ridge_spatial,spatial,4,duan_smearing,1.081089103616924
lasso_spatial,spatial,4,rmse_log,0.4009054911150471
lasso_spatial,spatial,4,mae_log,0.3260435011243148
lasso_spatial,spatial,4,r2,0.03996623133144128
lasso_spatial,spatial,4,medape_pct,31.586090846452564
lasso_spatial,spatial,4,mae_price_gbp,185252.7742727263
lasso_spatial,spatial,4,duan_smearing,1.0813499013906547
lightgbm,spatial,4,rmse_log,0.3672843103074686
lightgbm,spatial,4,mae_log,0.29023184627693704
lightgbm,spatial,4,r2,0.19423712639178314
lightgbm,spatial,4,medape_pct,26.36038661219905
lightgbm,spatial,4,mae_price_gbp,157119.95297758654
lightgbm,spatial,4,duan_smearing,1.0581038149402953
global_mean,spatial_buffered,0,rmse_log,0.5001907840145331
global_mean,spatial_buffered,0,mae_log,0.3895688927328298
global_mean,spatial_buffered,0,r2,-0.12149167385571058
global_mean,spatial_buffered,0,medape_pct,33.91477783820067
global_mean,spatial_buffered,0,mae_price_gbp,303517.14718867664
global_mean,spatial_buffered,0,duan_smearing,1.2926232509337512
global_median,spatial_buffered,0,rmse_log,0.4789683266267838
global_median,spatial_buffered,0,mae_log,0.368610288396952
global_median,spatial_buffered,0,r2,-0.028343655122549105
global_median,spatial_buffered,0,medape_pct,30.065359477124215
global_median,spatial_buffered,0,mae_price_gbp,303517.14718867664
global_median,spatial_buffered,0,duan_smearing,1.407459619301298
spatial_knn,spatial_buffered,0,rmse_log,0.5655585275633149
spatial_knn,spatial_buffered,0,mae_log,0.43825463484962257
spatial_knn,spatial_buffered,0,r2,-0.43377100239126776
spatial_knn,spatial_buffered,0,medape_pct,32.80592154300592
spatial_knn,spatial_buffered,0,mae_price_gbp,228799.17335159113
spatial_knn,spatial_buffered,0,duan_smearing,1.0407863662832073
ridge_no_spatial,spatial_buffered,0,rmse_log,0.349087192625904
ridge_no_spatial,spatial_buffered,0,mae_log,0.26244504495813026
ridge_no_spatial,spatial_buffered,0,r2,0.4537486620850768
ridge_no_spatial,spatial_buffered,0,medape_pct,20.68377713927871
ridge_no_spatial,spatial_buffered,0,mae_price_gbp,160705.65509284864
ridge_no_spatial,spatial_buffered,0,duan_smearing,1.1157179029002466
ridge_spatial,spatial_buffered,0,rmse_log,0.38158933503033154
ridge_spatial,spatial_buffered,0,mae_log,0.2959772328421073
ridge_spatial,spatial_buffered,0,r2,0.3472947006213749
ridge_spatial,spatial_buffered,0,medape_pct,25.672362307584063
ridge_spatial,spatial_buffered,0,mae_price_gbp,194067.82388035278
ridge_spatial,spatial_buffered,0,duan_smearing,1.0815811231752301
lasso_spatial,spatial_buffered,0,rmse_log,0.3860355341052898
lasso_spatial,spatial_buffered,0,mae_log,0.3005349075117527
lasso_spatial,spatial_buffered,0,r2,0.33199571548295115
lasso_spatial,spatial_buffered,0,medape_pct,26.328344050900853
lasso_spatial,spatial_buffered,0,mae_price_gbp,197598.75330690728
lasso_spatial,spatial_buffered,0,duan_smearing,1.0818083121826718
lightgbm,spatial_buffered,0,rmse_log,0.3818755767304223
lightgbm,spatial_buffered,0,mae_log,0.2925435390347218
lightgbm,spatial_buffered,0,r2,0.34631510537924326
lightgbm,spatial_buffered,0,medape_pct,24.458929940704987
lightgbm,spatial_buffered,0,mae_price_gbp,181468.1217670563
lightgbm,spatial_buffered,0,duan_smearing,1.0569307588533998
global_mean,spatial_buffered,1,rmse_log,0.5704535434003665
global_mean,spatial_buffered,1,mae_log,0.4230001236455124
global_mean,spatial_buffered,1,r2,-0.00025206584179682245
global_mean,spatial_buffered,1,medape_pct,32.24312366373546
global_mean,spatial_buffered,1,mae_price_gbp,337924.18723535986
global_mean,spatial_buffered,1,duan_smearing,1.2599248828973784
global_median,spatial_buffered,1,rmse_log,0.5738096439092522
global_median,spatial_buffered,1,mae_log,0.42024279366774997
global_median,spatial_buffered,1,r2,-0.01205608152040094
global_median,spatial_buffered,1,medape_pct,30.974632843791678
global_median,spatial_buffered,1,mae_price_gbp,337924.1872353599
global_median,spatial_buffered,1,duan_smearing,1.3535568448805888
spatial_knn,spatial_buffered,1,rmse_log,0.8742985472597499
spatial_knn,spatial_buffered,1,mae_log,0.7114328971931649
spatial_knn,spatial_buffered,1,r2,-1.3495700971067937
spatial_knn,spatial_buffered,1,medape_pct,75.57491210647883
spatial_knn,spatial_buffered,1,mae_price_gbp,668373.7416069033
spatial_knn,spatial_buffered,1,duan_smearing,1.040323150286828
ridge_no_spatial,spatial_buffered,1,rmse_log,0.4382515576130695
ridge_no_spatial,spatial_buffered,1,mae_log,0.33891429848570453
ridge_no_spatial,spatial_buffered,1,r2,0.40964148803227085
ridge_no_spatial,spatial_buffered,1,medape_pct,30.165053928438873
ridge_no_spatial,spatial_buffered,1,mae_price_gbp,284095.92746579146
ridge_no_spatial,spatial_buffered,1,duan_smearing,1.102345351764599
ridge_spatial,spatial_buffered,1,rmse_log,0.42355418208673495
ridge_spatial,spatial_buffered,1,mae_log,0.31047673216308647
ridge_spatial,spatial_buffered,1,r2,0.4485745056028977
ridge_spatial,spatial_buffered,1,medape_pct,24.690540330728357
ridge_spatial,spatial_buffered,1,mae_price_gbp,243228.21148039863
ridge_spatial,spatial_buffered,1,duan_smearing,1.075908934916229
lasso_spatial,spatial_buffered,1,rmse_log,0.4220606732484423
lasso_spatial,spatial_buffered,1,mae_log,0.30765987892450136
lasso_spatial,spatial_buffered,1,r2,0.45245644984921096
lasso_spatial,spatial_buffered,1,medape_pct,24.175187210072764
lasso_spatial,spatial_buffered,1,mae_price_gbp,240144.32738708457
lasso_spatial,spatial_buffered,1,duan_smearing,1.0761349024755695
lightgbm,spatial_buffered,1,rmse_log,0.4013336093394462
lightgbm,spatial_buffered,1,mae_log,0.2902826378850308
lightgbm,spatial_buffered,1,r2,0.5049147877637401
lightgbm,spatial_buffered,1,medape_pct,21.832992355966002
lightgbm,spatial_buffered,1,mae_price_gbp,220516.87219144346
lightgbm,spatial_buffered,1,duan_smearing,1.052847268781274
global_mean,spatial_buffered,2,rmse_log,0.658387916030111
global_mean,spatial_buffered,2,mae_log,0.4697299817507084
global_mean,spatial_buffered,2,r2,-0.09930814126981735
global_mean,spatial_buffered,2,medape_pct,32.371159317471374
global_mean,spatial_buffered,2,mae_price_gbp,417261.00305494864
